日付,商品名,カテゴリ,数量,単価,金額,担当者,地域
2025/01/01,USBケーブル,家電,11,800,8800,鈴木,東京
2025/01/02,ボールペン,文房具,2,150,300,山田,名古屋
2025/01/02,インスタントコーヒー,食品,4,500,2000,高橋,大阪
2025/01/03,ボールペン,文房具,22,150,3300,鈴木,福岡
2025/01/03,チョコレート,食品,1,250,250,佐藤,大阪
2025/01/03,ティッシュペーパー,日用品,3,300,900,田中,名古屋
2025/01/04,ボールペン,文房具,13,150,1950,鈴木,名古屋
2025/01/04,お茶パック,食品,6,350,2100,佐藤,大阪
2025/01/04,ノート,文房具,16,300,4800,鈴木,東京
2025/01/05,ミネラルウォーター,食品,21,100,2100,鈴木,名古屋
2025/01/05,ノート,文房具,11,300,3300,山田,大阪
2025/01/06,ティッシュペーパー,日用品,15,300,4500,鈴木,大阪
2025/01/06,ボールペン,文房具,2,150,300,佐藤,大阪
2025/01/07,モバイルバッテリー,家電,25,3000,75000,鈴木,東京
2025/01/07,ティッシュペーパー,日用品,8,300,2400,高橋,名古屋
2025/01/08,ボールペン,文房具,4,150,600,高橋,東京
2025/01/09,USBケーブル,家電,13,800,10400,佐藤,名古屋
2025/01/09,洗剤,日用品,23,400,9200,鈴木,名古屋
2025/01/09,イヤホン,家電,22,2500,55000,鈴木,大阪
2025/01/10,インスタントコーヒー,食品,10,500,5000,田中,大阪
2025/01/11,ボールペン,文房具,11,150,1650,高橋,大阪
2025/01/12,クリアファイル,文房具,2,200,400,佐藤,福岡
2025/01/12,ミネラルウォーター,食品,17,100,1700,鈴木,大阪
2025/01/13,イヤホン,家電,19,2500,47500,鈴木,名古屋
2025/01/14,クリアファイル,文房具,13,200,2600,山田,東京
2025/01/14,消しゴム,文房具,19,100,1900,鈴木,福岡
2025/01/14,ハンドソープ,日用品,11,350,3850,鈴木,福岡
2025/01/14,クリアファイル,文房具,11,200,2200,山田,名古屋
2025/01/15,ノート,文房具,13,300,3900,鈴木,福岡
2025/01/15,クリアファイル,文房具,9,200,1800,高橋,福岡
2025/01/16,ミネラルウォーター,食品,14,100,1400,田中,大阪
2025/01/17,インスタントコーヒー,食品,3,500,1500,高橋,大阪
2025/01/17,ボールペン,文房具,15,150,2250,佐藤,東京
2025/01/17,チョコレート,食品,5,250,1250,高橋,東京
2025/01/18,ハンドソープ,日用品,10,350,3500,鈴木,大阪
